date,open,high,low,close,volume,value,ema_short,ema_long,macd,signal,fgi
2024-11-15 09:00:00,4332000.0,4437000.0,4281000.0,4359000.0,55055.53538293,239792794744.1718,4359000.0,4359000.0,0.0,0.0,
2024-11-16 09:00:00,4358000.0,4600000.0,4326000.0,4402000.0,93673.91828829,415591460794.52313,4365615.384615385,4362185.185185185,3430.1994302002713,686.0398860400543,
2024-11-17 09:00:00,4403000.0,4441000.0,4260000.0,4329000.0,55854.27740223,243665211974.5452,4359982.2485207105,4359727.023319616,255.22520109452307,599.8769490509482,
2024-11-18 09:00:00,4330000.0,4545000.0,4298000.0,4511000.0,65533.18964987,287422928153.6785,4383215.748748293,4370932.428999645,12283.319748648442,2936.5655089704474,
2024-11-19 09:00:00,4511000.0,4540000.0,4328000.0,4372000.0,59172.97943945,259927782476.22433,4381490.248940864,4371011.508333004,10478.740607859567,4445.000528748271,
2024-11-20 09:00:00,4373000.0,4426000.0,4300000.0,4338000.0,50466.16391361,219661255322.39038,4374799.4414115,4368566.211419448,6233.229992051609,4802.646421408939,
2024-11-21 09:00:00,4338000.0,4733000.0,4309000.0,4685000.0,171843.33892139,787027882083.3922,4422522.604271269,4392005.751314304,30516.852956965566,9945.487728520266,
2024-11-22 09:00:00,4684000.0,4789000.0,4350000.0,4614000.0,146127.28769417,677739961647.2914,4451980.665152612,4408449.769735467,43530.89541714545,16662.569266245304,
2024-11-23 09:00:00,4613000.0,4821000.0,4572000.0,4727000.0,143847.9807842,674864414814.1405,4494291.33205221,4432046.083088395,62245.24896381516,25779.105205759275,
2024-11-24 09:00:00,4725000.0,4805000.0,4492000.0,4672000.0,97500.64238663,453677236870.9255,4521631.127121101,4449820.447304069,71810.67981703207,34985.42012801384,
2024-11-25 09:00:00,4672000.0,4932000.0,4555000.0,4759000.0,148214.90666338,709308382729.2284,4558149.415256317,4472722.636392657,85426.77886366006,45073.69187514308,
2024-11-26 09:00:00,4759000.0,4826000.0,4572000.0,4654000.0,76285.74332921,357948154276.02637,4572895.6590630375,4486150.58925246,86745.06981057767,53407.96746222999,
2024-11-27 09:00:00,4653000.0,5130000.0,4605000.0,5070000.0,110089.52819386,538039091556.10925,4649373.249976416,4529398.693752278,119974.55622413848,66721.2852146117,
2024-11-28 09:00:00,5071000.0,5106000.0,4944000.0,4988000.0,69262.01043321,348146000175.752,4701469.673056968,4563369.160881739,138100.51217522845,80997.13060673505,
2024-11-29 09:00:00,4988000.0,5031000.0,4909000.0,4966000.0,53466.12119607,266118190530.1911,4742166.646432819,4593193.667483091,148972.9789497275,94592.30027533355,
2024-11-30 09:00:00,4966000.0,5180000.0,4941000.0,5133000.0,74323.20634377,377718460841.5679,4802294.854673924,4633179.321743603,169115.53293032106,109496.94680633105,
